Course title,Skills,Organization,Ratings,Review count,Workload,Workload_Hour,Difficulty_level,Language,Course_link,Payment_Model,Course_Type
Introduction to Image Generation - Français,Cloud Computing,Google Cloud,,2,,,Beginner,fr,https://www.coursera.org/learn/introduction-to-image-generation---franais,Free Audit / Pay for Cert,Individual Course
"Memory, Encryption, and Protecting Data in Android","Mobile And Web Development, Computer Security And Networks",Infosec,,0,,,,en,https://www.coursera.org/learn/memory-encryption-and-protecting-data-android,Free Audit / Pay for Cert,Individual Course
Fundamentals of Blockchain Architecture,"Software Development, Business Strategy",LearnQuest,4.7,14,"3 weeks of study, 4-8 hours per week",18.0,Intermediate,en,https://www.coursera.org/learn/fundamentals-blockchain-architecture,Free Audit / Pay for Cert,Individual Course
 Vulnerability Assessment and Management,"Computer Security And Networks, Security",Edureka,,0,"4 weeks of study, 3 - 4 hours/week",14.0,Intermediate,en,https://www.coursera.org/learn/vulnerability-assessment-and-management,Free Audit / Pay for Cert,Individual Course
Researcher Management and Leadership Training,"Healthcare Management, Leadership And Management",University of Colorado System,4.8,409,"5 weeks of study, about 3 hours/week, with several optional resources for your interest.",15.0,Intermediate,en,https://www.coursera.org/learn/researcher-management-leadership-training,Free Audit / Pay for Cert,Individual Course
Debugging Apps on Google Kubernetes Engine,"Cloud Computing, Support And Operations",Google Cloud,,0,1 hour 15 minutes,1.25,Intermediate,en,https://www.coursera.org/learn/googlecloud-debugging-apps-on-google-kubernetes-engine-8pzmb,Free Audit / Pay for Cert,Individual Course
Cómo empezar con Facebook Commerce Manager,"Entrepreneurship, Marketing",Coursera,,0,2 horas,2.0,Beginner,es,https://www.coursera.org/learn/facebook-commerce,Free Audit / Pay for Cert,Individual Course
Introduction to Enterprise Computing,"Cloud Computing, Data Management",IBM ,4.7,1067,"3 weeks of study,  2-3 hours/week",7.5,Beginner,en,https://www.coursera.org/learn/introduction-enterprise-computing,Free Audit / Pay for Cert,Individual Course
Financial Planning,Finance,Indian School of Business,,1391,"6 weeks of study, 4-5 hours/week",27.0,Beginner,en,https://www.coursera.org/learn/financial-planning-course-isb,Free Audit / Pay for Cert,Individual Course
الأخلاقيات والثقافة ووجهات النظر العالمية,"Business Essentials, Personal Development",University of Illinois Urbana-Champaign,,0,,,Beginner,ar,https://www.coursera.org/learn/ethics-culture-and-global-perspectives-ar,Free Audit / Pay for Cert,Individual Course
Crea diseños de marca para tu pequeña empresa con Canva,"Design And Product, Marketing",Coursera,,0,2 horas,2.0,Beginner,es,https://www.coursera.org/learn/crea-disenos-marca-pequena-empresa-canva,Free Audit / Pay for Cert,Individual Course
"Systems Acquisition, Development and Implementation","Computer Security And Networks, Data Management",Packt,,7,,,Intermediate,en,https://www.coursera.org/learn/packt-systems-acquisition-development-implementation-l8app,Free Audit / Pay for Cert,Individual Course
Multimodality with Gemini,"Cloud Computing, Support And Operations",Google Cloud,,0,60 minutes,1.0,Intermediate,en,https://www.coursera.org/learn/googlecloud-multimodality-with-gemini-zlf0n,Free Audit / Pay for Cert,Individual Course
Creating Engaging Content for YouTube,"Marketing, Design And Product",Coursera,,6,"4 weeks, 4 hours/week",16.0,Beginner,en,https://www.coursera.org/learn/creating-engaging-content-for-youtube,Free Audit / Pay for Cert,Individual Course
Building No-Code Apps with AppSheet: Implementation,Cloud Computing,Google Cloud,4.7,22,"3 weeks of study, 3-4 hours/week.",10.5,Intermediate,en,https://www.coursera.org/learn/building-no-code-apps-with-appsheet-implementation,Free Audit / Pay for Cert,Individual Course
"Modern Robotics, Course 1:  Foundations of Robot Motion","Mechanical Engineering, Software Development",Northwestern University,4.7,1025,This course requires 4 weeks of study of approximately 3-5 hours/week.,16.0,Intermediate,en,https://www.coursera.org/learn/modernrobotics-course1,Free Audit / Pay for Cert,Individual Course
Mastering Microsoft Endpoint Manager and Intune,"Security, Computer Security And Networks",Packt,,3,,,Intermediate,en,https://www.coursera.org/learn/packt-mastering-microsoft-endpoint-manager-and-intune-sntyi,Free Audit / Pay for Cert,Individual Course
Voice AI: Introduction to Building Voice Applications,"Machine Learning, Data Analysis",Coursera,,0,30 min/week,0.5,Beginner,en,https://www.coursera.org/learn/voice-ai-introduction-to-building-voice-applications,Free Audit / Pay for Cert,Individual Course
Blockchain Evolution and Technology Concepts,Security,Association of International Certified Professional Accountants,4.7,133,,,Beginner,en,https://www.coursera.org/learn/blockchain-evolution-and-technology-concepts,Free Audit / Pay for Cert,Individual Course
From prototyping to validating business models,"Leadership And Management, Entrepreneurship",The Open University,,0,,,Intermediate,en,https://www.coursera.org/learn/from-prototyping-to-validating-business-models,Free Audit / Pay for Cert,Individual Course
University Studies for Student Veterans,Personal Development,Columbia University,,5,"12 weeks of study, 2-3 hours per week",30.0,Beginner,en,https://www.coursera.org/learn/university-studies-for-student-veterans,Free Audit / Pay for Cert,Individual Course
Bioinformatic Methods I,Health Informatics,University of Toronto,4.7,1782,12-18 hours videos and labs,15.0,Beginner,en,https://www.coursera.org/learn/bioinformatics-methods-1,Free Audit / Pay for Cert,Individual Course
"SEO Case Study: Analyze, Optimize & Grow","Marketing, Business Essentials",EDUCBA,,0,,,,en,https://www.coursera.org/learn/seo-case-study-analyze-optimize-grow,Free Audit / Pay for Cert,Individual Course
Modelos predictivos con Machine Learning,"Software Development, Data Analysis",Universidades Anáhuac,,1,4 semanas,40.0,Intermediate,es,https://www.coursera.org/learn/modelos-predictivos-con-machine-learning,Free Audit / Pay for Cert,Individual Course
Introduction to SQL and relational databases,Data Management,Universitat Politècnica de València,,1,"5 weeks of study, 4 hours per week",20.0,Beginner,en,https://www.coursera.org/learn/valencia-sandbox-2-,Free Audit / Pay for Cert,Individual Course
Social Network Analysis,"Data Analysis, Education","University of California, Davis",4.7,242,"5 weeks of study, 2-5 hours/week",17.5,Beginner,en,https://www.coursera.org/learn/social-network-analysis,Free Audit / Pay for Cert,Individual Course
Predictive Analytics with SPSS: Analyze & Apply,"Data Analysis, Probability And Statistics",EDUCBA,4.9,14,,,,en,https://www.coursera.org/learn/predictive-analytics-spss-analyze-apply,Free Audit / Pay for Cert,Individual Course
Build a Mobile App with Firebase,"Software Development, Mobile And Web Development",Scrimba,,2,,,Intermediate,en,https://www.coursera.org/learn/build-a-mobile-app-with-firebase,Free Audit / Pay for Cert,Individual Course
Data Management and Sharing for NIH Proposals,"Basic Science, Research Methods",Fred Hutchinson Cancer Center,,0,,,Beginner,en,https://www.coursera.org/learn/nih-data-sharing,Free Audit / Pay for Cert,Individual Course
Computer Vision Basics,"Algorithms, Machine Learning",University at Buffalo,4.2,1819,,,Intermediate,en,https://www.coursera.org/learn/computer-vision-basics,Free Audit / Pay for Cert,Individual Course
Advanced DAX and Performance Optimization,"Data Management, Cloud Computing",Microsoft,,0,,,Intermediate,en,https://www.coursera.org/learn/advanced-dax-and-performance-optimization,Free Audit / Pay for Cert,Individual Course
3D Animation in Unreal Engine: Create an Original Character,Design And Product,Skillshare,,2,,,,en,https://www.coursera.org/learn/3d-animation-in-unreal-engine-create-an-original-character,Free Audit / Pay for Cert,Individual Course
Advanced Security and Troubleshooting,"Networking, Computer Security And Networks",Packt,,7,,,Advanced,en,https://www.coursera.org/learn/packt-advanced-security-and-troubleshooting-fndef,Free Audit / Pay for Cert,Individual Course
Road Safety & Indigenous Communities: Safe Systems Approach,"Public Health, Governance And Society",Johns Hopkins University,,3,,,,en,https://www.coursera.org/learn/road-safety--indigenous-communities-safe-systems-approach,Free Audit / Pay for Cert,Individual Course
Civil Registration & Vital Statistics in Population Health,"Public Health, Research",Johns Hopkins University,,2,"2 weeks of study, 2-3 hours/week",5.0,Beginner,en,https://www.coursera.org/learn/crvsforpopulationhealth,Free Audit / Pay for Cert,Individual Course
剪辑：像编剧一样剪辑,"Music And Art, Personal Development",Fudan University,4.5,30,"5 周课程, 2-4 小时/周",15.0,Beginner,zh-CN,https://www.coursera.org/learn/jian-ji,Free Audit / Pay for Cert,Individual Course
Create a Cover Letter with an Envelope using Microsoft Word,"Business Essentials, Personal Development",Coursera,4.4,5,2 hours,2.0,Beginner,en,https://www.coursera.org/learn/create-a-cover-letter-with-an-envelope-using-microsoft-word,Free Audit / Pay for Cert,Individual Course
Sustainable Practices in High-Tech Manufacturing,"Environmental Science And Sustainability, Business Strategy",Coursera,,0,80 Minutes,1.3333333333333333,Intermediate,en,https://www.coursera.org/learn/sustainable-practices-in-high-tech-manufacturing,Free Audit / Pay for Cert,Individual Course
Semiconductor Manufacturing Fundamentals,"Computer Security And Networks, Security",Coursera,,1,60 Minutes,1.0,Intermediate,en,https://www.coursera.org/learn/semiconductor-manufacturing-fundamentals,Free Audit / Pay for Cert,Individual Course
User Interface Design and Prototyping,"Design And Product, Mobile And Web Development",Microsoft,4.4,63,,,,en,https://www.coursera.org/learn/user-interface-design-and-prototyping,Free Audit / Pay for Cert,Individual Course
Research Methodologies,"Marketing, Business Strategy",Queen Mary University of London,4.7,790,20 hours (4 hours per week)  ,20.0,Beginner,en,https://www.coursera.org/learn/research-methodologies,Free Audit / Pay for Cert,Individual Course
From Climate Science to Action,Governance And Society,The World Bank Group,4.7,475,,,Beginner,en,https://www.coursera.org/learn/climate-science,Free Audit / Pay for Cert,Individual Course
Data Storage and Management for Big Data,"Data Analysis, Design And Product",Microsoft,,0,"3 months, 5 hours per week",5.0,Intermediate,en,https://www.coursera.org/learn/microsoft-big-data-storage-management,Free Audit / Pay for Cert,Individual Course
Analyze Box Office Data with Seaborn and Python,"Machine Learning, Data Analysis",Coursera,4.5,29,2 hours,2.0,Intermediate,en,https://www.coursera.org/learn/analyze-data-seaborn-python,Free Audit / Pay for Cert,Individual Course
Material Jetting and Stereolithography,Mechanical Engineering,Arizona State University,4.8,26,,,Intermediate,en,https://www.coursera.org/learn/material-jetting-and-stereolithography,Free Audit / Pay for Cert,Individual Course
Analyze Multimodal AI for Business Insights,"Leadership And Management, Data Analysis",Coursera,,0,116 minutes,1.9333333333333333,Intermediate,en,https://www.coursera.org/learn/analyze-multimodal-ai-for-business-insights,Free Audit / Pay for Cert,Individual Course
Cybersecurity Identity and Access Solutions with Azure AD,Computer Security And Networks,Microsoft,,8,21 hours,21.0,Beginner,en,https://www.coursera.org/learn/cybersecurity-identity-access-solutions-azure-ad,Free Audit / Pay for Cert,Individual Course
Multi-Agent Systems with LangGraph,"Software Development, Machine Learning",Edureka,,0,"4 weeks of study, 3 - 4 hours/week",14.0,Intermediate,en,https://www.coursera.org/learn/multi-agent-systems-with-langgraph,Free Audit / Pay for Cert,Individual Course
GenAI for Front-End Developers,"Software Development, Mobile And Web Development",Coursera,4.4,36,1 Hour,1.0,Intermediate,en,https://www.coursera.org/learn/genai-for-front-end-developers,Free Audit / Pay for Cert,Individual Course
Teaching LGBTQ+ Health,"Patient Care, Healthcare Management",Stanford University,4.8,24,"1 week study, 2 hours",10.0,Beginner,en,https://www.coursera.org/learn/teaching-lgbtq-health,Free Audit / Pay for Cert,Individual Course
XR in Healthcare Education and Clinical Practice,"Patient Care, Design And Product",Imperial College London,,7,"4 Weeks of study, 4 -6 hours/week",20.0,Beginner,en,https://www.coursera.org/learn/extended-reality-in-healthcare-education-and-clinical-practice,Free Audit / Pay for Cert,Individual Course
史記 (Shi Ji),History,National Taiwan University,4.9,212,,,Beginner,zh-TW,https://www.coursera.org/learn/shiji,Free Audit / Pay for Cert,Individual Course
Fundamentos del Management,"Leadership And Management, Personal Development",Universidad de Palermo,4.5,186,3 horas por semana.,3.0,Beginner,es,https://www.coursera.org/learn/fundamentos-del-management,Free Audit / Pay for Cert,Individual Course
Translating Research to Communities ,Basic Science,University of Michigan,,3,,,Beginner,en,https://www.coursera.org/learn/translating-research-to-communities,Free Audit / Pay for Cert,Individual Course
YouTube Ads & Video Marketing,"Marketing, Entrepreneurship",Alex Genadinik,,0,,,,en,https://www.coursera.org/learn/youtube-ads,Free Audit / Pay for Cert,Individual Course
Successful Presentation,"Business Essentials, Personal Development",University of Colorado Boulder,4.8,4920,"4  weeks of study, 2 hours/week",8.0,Beginner,en,https://www.coursera.org/learn/presentation-skills,Free Audit / Pay for Cert,Individual Course
Choosing your AWS identity service,"Cloud Computing, Business Essentials",Amazon Web Services,,0,,,Beginner,en,https://www.coursera.org/learn/choosing-your-aws-identity-service,Free Audit / Pay for Cert,Individual Course
Consultative Selling and Buyer Engagement,Business Essentials,LearnQuest,,0,"3 weeks of study, 3 hours/week",9.0,Beginner,en,https://www.coursera.org/learn/consultative-selling-and-buyer-engagement,Free Audit / Pay for Cert,Individual Course
Sistemas operativos y tú: Convertirse en un usuario avanzado,"Support And Operations, Computer Security And Networks",Google,,0,8 - 10 horas por semana,9.0,Beginner,es,https://www.coursera.org/learn/sistemas-operativos,Free Audit / Pay for Cert,Individual Course
Palo Alto Networks Cybersecurity Fundamentals,"Computer Security And Networks, Security",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-palo-alto-networks-cybersecurity-fundamentals-pccsa-nxmaz,Free Audit / Pay for Cert,Individual Course
Specialized RMAN Features and Advanced Use Cases,"Data Management, Cloud Computing",Packt,,0,,,Advanced,en,https://www.coursera.org/learn/packt-specialized-rman-features-and-advanced-use-cases-f2n1f,Free Audit / Pay for Cert,Individual Course
Financing  Biotech Innovation,"Finance, Entrepreneurship",Technical University of Munich (TUM),,0,3-4 hours per week for 6 weeks,21.0,Intermediate,en,https://www.coursera.org/learn/financing-biotech-innovation,Free Audit / Pay for Cert,Individual Course
Manage Schema Evolution in Real‑Time Data,"Software Development, Cloud Computing",Coursera,,0,60 Minutes,1.0,Intermediate,en,https://www.coursera.org/learn/manage-schema-evolution-in-realtime-data,Free Audit / Pay for Cert,Individual Course
Code Free Data Science,"Machine Learning, Data Analysis",University of California San Diego,4.3,216,,,Beginner,en,https://www.coursera.org/learn/code-free-data-science,Free Audit / Pay for Cert,Individual Course
工程圖學 2D CAD,Mechanical Engineering,National Taiwan University,4.7,224,,,,zh-TW,https://www.coursera.org/learn/2d-cad,Free Audit / Pay for Cert,Individual Course
Accounting Analytics,"Finance, Data Analysis",University of Pennsylvania,4.5,3023,"4 weeks, 3 -5 hours per week",16.0,,en,https://www.coursera.org/learn/accounting-analytics,Free Audit / Pay for Cert,Individual Course
Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications,Math And Logic,Koç University,4.4,14,9 hours per module,9.0,,tr,https://www.coursera.org/learn/calculus-diferansiyel-hesap,Free Audit / Pay for Cert,Individual Course
Negotiations For Leaders,"Leadership And Management, Entrepreneurship",Creo Incubator,,1,,,Beginner,en,https://www.coursera.org/learn/negotiations-for-leaders,Free Audit / Pay for Cert,Individual Course
Municipal Solid Waste Management in Developing Countries,"Environmental Science And Sustainability, Governance And Society",École Polytechnique Fédérale de Lausanne,4.8,3496,"5 weeks of study, 4-6 hours/week",25.0,Intermediate,en,https://www.coursera.org/learn/solid-waste-management,Free Audit / Pay for Cert,Individual Course
Management Complete Guide - Succeed in Leadership Roles,"Leadership And Management, Business Essentials",Chris Croft Training ,,0,,,Beginner,en,https://www.coursera.org/learn/management-leadership,Free Audit / Pay for Cert,Individual Course
كابستون: تطبيق إدارة المشروعات في العالم الحقيقي,"Leadership And Management, Business Essentials",Google,,0,,,Beginner,ar,https://www.coursera.org/learn/applying-project-management-in-the-real-world-arabic,Free Audit / Pay for Cert,Individual Course
Protecting Data with NetApp Cloud Manager & Cloud Volumes ONTAP for Google Cloud,"Cloud Computing, Data Management",Google Cloud,,0,1 hour 30 minutes,1.5,Beginner,en,https://www.coursera.org/learn/googlecloud-protecting-data-with-netapp-cloud-manager-cloud-volumes-ontap-iojct,Free Audit / Pay for Cert,Individual Course
FinTech Foundations and Overview,"Finance, Business Essentials",The Hong Kong University of Science and Technology,4.7,585,"7 hours of videos in total, plus a final project requiring about 5 hours to complete.",7.0,Beginner,en,https://www.coursera.org/learn/fintech,Free Audit / Pay for Cert,Individual Course
"Extract, Transform, and Load Data","Data Analysis, Machine Learning",CertNexus,4.8,37,"3 weeks of study, 1–3 hours per week",6.0,Intermediate,en,https://www.coursera.org/learn/extract-transform-and-load-data,Free Audit / Pay for Cert,Individual Course
Управление рисками проекта и изменениями,Leadership And Management,"University of California, Irvine",4.8,87,"4 weeks of study, 2-3 hours/week",10.0,,ru,https://www.coursera.org/learn/project-risk-management-ru,Free Audit / Pay for Cert,Individual Course
Assessing Data Quality with Dataplex,"Cloud Computing, Data Analysis",Google Cloud,,0,90 minutes,1.5,Beginner,en,https://www.coursera.org/learn/googlecloud-assessing-data-quality-with-dataplex-fk1hs,Free Audit / Pay for Cert,Individual Course
Emerging Markets - Jagdish Sheth,"Marketing, Business Strategy",Kennesaw State University,,0,,,Beginner,en,https://www.coursera.org/learn/emerging-markets,Free Audit / Pay for Cert,Individual Course
Choisissez une publication basée sur l'engagement avec Facebook pour les entreprises,"Marketing, Leadership And Management",Coursera,,0,2 heures,2.0,Beginner,fr,https://www.coursera.org/learn/choisissez-une-publication-basee-sur-l-engagement-avec-facebook-pour-entreprises,Free Audit / Pay for Cert,Individual Course
Storying the Self: Telling our Stories,"Personal Development, Music And Art",University of Colorado Boulder,,3,"Three weeks of study, 3-5hours/week",4.0,Beginner,en,https://www.coursera.org/learn/storying-the-self-telling-our-stories,Free Audit / Pay for Cert,Individual Course
Developing Applications with Cloud Run on Google Cloud: Fundamentals,Cloud Computing,Google Cloud,4.4,12,,,Beginner,en,https://www.coursera.org/learn/developing-applications-with-cloud-run-on-gcp-fundamentals,Free Audit / Pay for Cert,Individual Course
Advanced AI Techniques for the Supply Chain,"Machine Learning, Data Analysis",LearnQuest,3.2,15,"3 weeks of study, 3-5 hours per week",12.0,Intermediate,en,https://www.coursera.org/learn/advanced-ai-techniques-for-the-supply-chain,Free Audit / Pay for Cert,Individual Course
Automize Monthly Report Creation with Power Automate,"Cloud Computing, Business Essentials",Coursera,4.4,9,90 minutes,1.5,Beginner,en,https://www.coursera.org/learn/automize-monthly-report-creation-power-automate,Free Audit / Pay for Cert,Individual Course
GenAI for Risk Managers: Advanced Risk Analysis Techniques,"Machine Learning, Data Analysis",Coursera,,2,3 Hour 20 minutes,3.3333333333333335,Advanced,en,https://www.coursera.org/learn/genai-for-risk-managers-advanced-risk-analysis-techniques,Free Audit / Pay for Cert,Individual Course
Music and Social Action,"Music And Art, Philosophy",Yale University,4.7,181,"7 weeks of study, 2-3 hours/week",17.5,,en,https://www.coursera.org/learn/music-and-social-action,Free Audit / Pay for Cert,Individual Course
Erstelle eine Facebook Gruppe,"Business Essentials, Leadership And Management",Coursera,,0,2 Stunden,2.0,Beginner,de,https://www.coursera.org/learn/erstelle-facebook-gruppen,Free Audit / Pay for Cert,Individual Course
Interventions and Calibration,Public Health,Imperial College London,4.7,56,,,Intermediate,en,https://www.coursera.org/learn/interventions-and-calibration,Free Audit / Pay for Cert,Individual Course
Natural Language Processing on Google Cloud,"Machine Learning, Cloud Computing",Google Cloud,4.4,540,,,Advanced,en,https://www.coursera.org/learn/sequence-models-tensorflow-gcp,Free Audit / Pay for Cert,Individual Course
"Cybersecurity Compliance Framework, Standards & Regulations","Computer Security And Networks, Security",IBM,4.7,3464,"5 modules, 2-3 hours/module",2.5,Intermediate,en,https://www.coursera.org/learn/cybersecurity-compliance-framework-standards-regulations,Free Audit / Pay for Cert,Individual Course
Créer un tableau de bord d'analyse marketing à l'aide de Hubspot,"Leadership And Management, Marketing",Coursera,,0,2 heures,2.0,Beginner,fr,https://www.coursera.org/learn/creer-un-tableau-de-bord-d-analyse-marketing-a-l-aide-de-hubspot,Free Audit / Pay for Cert,Individual Course
Data Science Decisions in Time: Using Causal Information,"Data Analysis, Software Development",Johns Hopkins University,,3,3-5 hours/week,4.0,Intermediate,en,https://www.coursera.org/learn/data-science-decisions-in-time-using-causal-information,Free Audit / Pay for Cert,Individual Course
Analyze Employee Performance Using Excel Pivot Tables,"Data Analysis, Business Essentials",EDUCBA,,0,,,Beginner,en,https://www.coursera.org/learn/analyze-employee-performance-excel-pivot-tables,Free Audit / Pay for Cert,Individual Course
Essential Concepts of Vector Databases,"Cloud Computing, Data Management",Packt,,0,,,Intermediate,en,https://www.coursera.org/learn/packt-essential-concepts-of-vector-databases-zj8v3,Free Audit / Pay for Cert,Individual Course
Pro Tools Basics,Music And Art,Berklee,4.7,609,"4 weeks of study, 3-5 hours a week.",16.0,Beginner,en,https://www.coursera.org/learn/protools,Free Audit / Pay for Cert,Individual Course
Crystal Reports: SQL Statements and Complex Formulas,"Data Analysis, Business Essentials",Logical Operations,,0,,,,en,https://www.coursera.org/learn/crystal-reports-sql-statements-complex-formulas-lo095028,Free Audit / Pay for Cert,Individual Course
Design Patterns,"Software Development, Mobile And Web Development",University of Alberta,4.7,1374,"Four weeks of study, 5 – 8 hours/week",6.5,Intermediate,en,https://www.coursera.org/learn/design-patterns,Free Audit / Pay for Cert,Individual Course
Introduction to Workflow Management,"Leadership And Management, Business Strategy",Coursera,,7,2 Hour,2.0,Intermediate,en,https://www.coursera.org/learn/introduction-to-workflow-management,Free Audit / Pay for Cert,Individual Course
Greening the Economy: Sustainable Cities,"Environmental Science And Sustainability, Governance And Society",Lund University,4.7,2472,"5 weeks of study, 5 hours/week.",25.0,Beginner,en,https://www.coursera.org/learn/gte-sustainable-cities,Free Audit / Pay for Cert,Individual Course
"User Interface Design: Principles, Prototyping, Practices","Design And Product, Cloud Computing",Coursera,4.8,41,1 Hour,1.0,Beginner,en,https://www.coursera.org/learn/user-interface-design-principles-prototyping-practices,Free Audit / Pay for Cert,Individual Course
"AZ-104: Azure Storage, Compute, Containers, and Automation","Cloud Computing, Software Development",Packt,,3,,,Intermediate,en,https://www.coursera.org/learn/packt-az-104-azure-storage-compute-containers-and-autoamtion-pps7c,Free Audit / Pay for Cert,Individual Course
Evolución: Síntesis extendida,Environmental Science And Sustainability,Universidad Nacional Autónoma de México,,7,,,Beginner,es,https://www.coursera.org/learn/sintesisextendida,Free Audit / Pay for Cert,Individual Course
Positive Psychology Specialization Project: Design Your Life for Well-being,"Psychology, Personal Development",University of Pennsylvania,4.8,912,"4 weeks of study, 2-5 hours per week.",14.0,,en,https://www.coursera.org/learn/positive-psychology-project,Free Audit / Pay for Cert,Individual Course
Bracketology with Google Machine Learning,"Machine Learning, Probability And Statistics",Google Cloud,,0,1 hour,1.0,Beginner,en,https://www.coursera.org/learn/googlecloud-bracketology-with-google-machine-learning-5ytsd,Free Audit / Pay for Cert,Individual Course
VLSI CAD Part II: Layout,Algorithms,University of Illinois Urbana-Champaign,4.7,283,,,Intermediate,en,https://www.coursera.org/learn/vlsi-cad-layout,Free Audit / Pay for Cert,Individual Course
أساسيات تحليل البيانات باستخدام بايثون وباندا,"Data Analysis, Probability And Statistics",Coursera,4.7,6,2 hours,2.0,Beginner,ar,https://www.coursera.org/learn/data-analysis-python-pandas-ar,Free Audit / Pay for Cert,Individual Course
벡터 검색 및 임베딩,"Software Development, Cloud Computing",Google Cloud,,1,,,Intermediate,ko,https://www.coursera.org/learn/vector-search-and-embeddings-ko,Free Audit / Pay for Cert,Individual Course
API Security on Google Cloud's Apigee API Platform,"Software Development, Design And Product",Google Cloud,4.6,840,,,Beginner,en,https://www.coursera.org/learn/api-security-apigee-gcp,Free Audit / Pay for Cert,Individual Course
Introduction to Java,"Software Development, Mobile And Web Development",LearnQuest,4.6,2241,,,Beginner,en,https://www.coursera.org/learn/java-introduction,Free Audit / Pay for Cert,Individual Course
Innovative And Disruptive Thinking For Market Disruption,"Marketing, Business Strategy",Alex Genadinik,,0,,,,en,https://www.coursera.org/learn/innovative-thinking,Free Audit / Pay for Cert,Individual Course
NoSQL Databases: Analyze & Implement Scalable Systems,"Data Analysis, Probability And Statistics",EDUCBA,,0,,,,en,https://www.coursera.org/learn/nosql-databases-analyze-implement-scalable-systems,Free Audit / Pay for Cert,Individual Course
Relational Database Administration (DBA),"Data Management, Software Development",IBM,4.5,260," 5 weeks of study, 2-4 hours / week",15.0,Intermediate,en,https://www.coursera.org/learn/relational-database-administration,Free Audit / Pay for Cert,Individual Course
Sustainability Reporting: From Regulation to Implementation,"Business Essentials, Economics",University of Illinois Urbana-Champaign,4.6,38,,,Intermediate,en,https://www.coursera.org/learn/sustainability-reporting-from-regulation-to-implementation,Free Audit / Pay for Cert,Individual Course
Feedback Skills,"Leadership And Management, Business Essentials",Packt,4.7,38,,,Beginner,en,https://www.coursera.org/learn/packt-feedback-skills-zlnrj,Free Audit / Pay for Cert,Individual Course
Improve Focus And Concentration For A Longer Attention Span,"Leadership And Management, Business Essentials",Alex Genadinik,,0,,,,en,https://www.coursera.org/learn/focus,Free Audit / Pay for Cert,Individual Course
Chinese Characters for beginner 汉字,Other Languages,Peking University,4.7,1067,5-7 hours/week,6.0,Beginner,zh-CN,https://www.coursera.org/learn/hanzi,Free Audit / Pay for Cert,Individual Course
Introducción a Hootsuite,"Business Strategy, Data Management",Coursera,,0,2 hours ,2.0,Beginner,es,https://www.coursera.org/learn/introduccion-a-hootsuite,Free Audit / Pay for Cert,Individual Course
Master Machine Learning with TensorFlow: Basics to Advanced,"Machine Learning, Data Analysis",EDUCBA,,0,,,,en,https://www.coursera.org/learn/master-machine-learning-tensorflow-basics-advanced,Free Audit / Pay for Cert,Individual Course
International Perspectives on Health and Nursing 健康和护理的国际化视角,"Research, Patient Care",Peking University,,5,,,,en,https://www.coursera.org/learn/international-perspectives-on-health-and-nursing,Free Audit / Pay for Cert,Individual Course
Data Analytics with Skills.AI: Create Data Visualizations,"Data Analysis, Probability And Statistics",Coursera,,0,1 hours,1.0,Intermediate,en,https://www.coursera.org/learn/data-analytics-with-skills-ai-create-data-visualizations,Free Audit / Pay for Cert,Individual Course
Visualize Retention: Heatmaps & Clarity Unlocked,Leadership And Management,Coursera,,0,110 minutes,1.8333333333333333,Intermediate,en,https://www.coursera.org/learn/visualize-retention-heatmaps--clarity-unlocked,Free Audit / Pay for Cert,Individual Course
Research Proposal: Initiating Research,"Marketing, Business Strategy","University of California, Davis",4.6,945,"4 weeks of study, 2-5 hours/week",14.0,Intermediate,en,https://www.coursera.org/learn/research-proposal-initiating-research,Free Audit / Pay for Cert,Individual Course
Analyze Financial Markets with Technical Analysis,"Business Essentials, Business Strategy",EDUCBA,,0,,,Beginner,en,https://www.coursera.org/learn/analyze-financial-markets-technical-analysis,Free Audit / Pay for Cert,Individual Course
Epidemiology: The Basic Science of Public Health,Public Health,The University of North Carolina at Chapel Hill,4.7,4978,5.5 hours of videos and quizzes,5.5,,en,https://www.coursera.org/learn/epidemiology,Free Audit / Pay for Cert,Individual Course
材料力學一 (Mechanics of Materials (1)),Mechanical Engineering,National Taiwan University,4.9,32,,,Beginner,zh-TW,https://www.coursera.org/learn/mechanics-of-materials-1,Free Audit / Pay for Cert,Individual Course
Copyright Law,"Law, Business Strategy",University of Pennsylvania,4.8,390,"4 weeks, 3-4 hours/week",14.0,,en,https://www.coursera.org/learn/copyright-law,Free Audit / Pay for Cert,Individual Course
Responsible AI for Developers: Fairness & Bias - Português,Cloud Computing,Google Cloud,,0,,,Intermediate,pt-BR,https://www.coursera.org/learn/responsible-ai-for-developers-fairness-ptbr,Free Audit / Pay for Cert,Individual Course
Transform Financial Data: Recall & Import,"Data Analysis, Finance",Coursera,,0,,,Intermediate,en,https://www.coursera.org/learn/transform-financial-data-recall--import,Free Audit / Pay for Cert,Individual Course
Project Management Capstone,"Leadership And Management, Business Strategy",IBM,4.9,116,"5 weeks of study, approximately 10 hours total",50.0,Advanced,en,https://www.coursera.org/learn/ibm-project-management-capstone,Free Audit / Pay for Cert,Individual Course
